"q_id";"o_id";"o_title";"o_ans"
"Q100";"A";"TRUE";"Y"
"Q100";"B";"FALSE";"N"
"Q101";"A";"Show()";"N"
"Q101";"B";"ShowMe()";"N"
"Q101";"C";"ShowDialog()";"Y"
"Q101";"D";"ShowModeless()";"N"
"Q102";"A";"Show()";"Y"
"Q102";"B";"ShowMe()";"N"
"Q102";"C";"ShowDialog()";"N"
"Q102";"D";"ShowModeless()";"N"
"Q103";"A";"TRUE";"N"
"Q103";"B";"FALSE";"Y"
"Q104";"A";"TRUE";"Y"
"Q104";"B";"FALSE";"N"
"Q200";"A";"public static int main(char args[])";"N"
"Q200";"B";"public static void main(String args[])";"Y"
"Q200";"C";"public static void MAIN(String args[])";"N"
"Q200";"D";"public static void main(String args)";"N"
"Q200";"E";"public static void main(char args[])";"N"
"Q201";"A";"TRUE";"Y"
"Q201";"B";"FALSE";"N"
"Q202";"A";"transient";"N"
"Q202";"B";"volatile";
"Q202";"C";"synchronized";"Y"
"Q202";"D";"native";"N"
"Q202";"E";"static";"N"
"Q203";"A";"Collection";"N"
"Q203";"B";"Set";"N"
"Q203";"C";"List";"Y"
"Q203";"D";"Map";"N"
"Q204";"A";"HashMap";"N"
"Q204";"B";"Hashtable";"N"
"Q204";"C";"TreeMap";"Y"
"Q204";"D";"HashSet";"N"
"Q204";"E";"TreeSet";"N"
"Q204";"F";"Vector";"N"
"Q300";"A";"1NF";"N"
"Q300";"B";"2NF";"N"
"Q300";"C";"3NF";"Y"
"Q300";"D";"4NF";"N"
"Q301";"A";"all capital letters";"N"
"Q301";"B";"italics";"N"
"Q301";"C";"underlining";"Y"
"Q301";"D";"a key icon";"N"
"Q302";"A";"One-to-one relationship";"N"
"Q302";"B";"One-to-many relationship";"N"
"Q302";"C";"Many-to-many relationship";"Y"
"Q302";"D";"Difficult relationship";"N"
"Q303";"A";"verb";"Y"
"Q303";"B";"noun";"N"
"Q303";"C";"adjective";"N"
"Q303";"D";"number";"N"
"Q304";"A";"consists of only one field";"N"
"Q304";"B";"has the same value for all records";"N"
"Q304";"C";"must contain a unique value for each record within the table";"Y"
"Q304";"D";"is defined automatically";"N"
"Q305";"A";"As a circle with a nonunique name";"N"
"Q305";"B";"As a rectangular box with a unique name";"Y"
"Q305";"C";"As a line connecting two tables";"N"
"Q305";"D";"As a circle with a unique name";"N"
"Q306";"A";"A record";"N"
"Q306";"B";"A table";"Y"
"Q306";"C";"A relationship";"N"
"Q307";"A";"Increase the efficiency of data retrieval.";"N"
"Q307";"B";"Automate common data manipulation tasks.";"N"
"Q307";"C";"Retrieve a listing or subset of specific database content.";"Y"
"Q307";"D";"Help enforce business rules and constraints.";"N"
"Q308";"A";"Increase the efficiency of data retrieval.";"N"
"Q308";"B";"Automate common data manipulation tasks.";"N"
"Q308";"C";"Help enforce business rules and constraints.";"Y"
"Q309";"A";"Increase the efficiency of data retrieval.";"N"
"Q309";"B";"Automate common data manipulation tasks.";"Y"
"Q309";"C";"Retrieve a listing or subset of specific database content.";"N"
"Q500";"A";"Zero always";"N"
"Q500";"B";"Sparingly, if at all";"Y"
"Q500";"C";"There are no global in OO System";"N"
"Q501";"A";"Packages and their public interfaces";"Y"
"Q501";"B";"Smaller teams";"N"
"Q501";"C";"The use of interfaces";"N"
"Q502";"A";"TRUE";"Y"
"Q502";"B";"FALSE";"N"
"Q503";"A";"How the customer's requirements are going to be met";"N"
"Q503";"B";"A service the customer requires";"Y"
"Q503";"C";"Multiple related uses of the System";"N"
"Q504";"A";"A Use Case";"Y"
"Q504";"B";"An Activity Diagram";"N"
"Q504";"C";"A State Transition Diagram";"N"
"Q505";"A";"Class diagrams that appears";"N"
"Q505";"B";"Classes that are related to the Same Service";"Y"
"Q505";"C";"Classes that work together in the same interaction diagrams";"N"
"Q506";"A";"How external System interactions will be fulfilled";"N"
"Q506";"B";"How user requirements will be fulfilled";"N"
"Q506";"C";"What user requirements will be fulfilled";"Y"
"Q507";"A";"Job Title";"N"
"Q507";"B";"Role";"Y"
"Q507";"C";"Name";"N"
"Q508";"A";"Life Cycle";"Y"
"Q508";"B";"Super Class";"N"
"Q508";"C";"Public Operations";"N"
"Q509";"A";"Class diagrams";"N"
"Q509";"B";"Use cases";"Y"
"Q509";"C";"State Diagrams";"N"
"Q600";"A";"Resource fast tracking.";"N"
"Q600";"B";"Resource leveling.";"Y"
"Q600";"C";"Resource crashing.";"N"
"Q601";"A";"Work charter.";"N"
"Q601";"B";"Statement of work.";"N"
"Q601";"C";"Work breakdown structure.";"Y"
"Q602";"A";"The initiation phase.";"N"
"Q602";"B";"The execution phase.";"Y"
"Q602";"C";"The planning phase.";"N"
"Q603";"A";"Organizational policies";"Y"
"Q603";"B";"A weighting system.";"N"
"Q603";"C";"A screening system.";"N"
"Q604";"A";"Project character";"N"
"Q604";"B";"Cost plan";"N"
"Q604";"C";"Resource requirements";"Y"
"Q605";"A";"The costs involved when changes are made to the requirements";"N"
"Q605";"B";"The costs of ensuring that requirements are conformed to.";"Y"
"Q605";"C";"The costs involved with quality control requirements.";"N"
"Q606";"A";"firm fixed price contracts.";"Y"
"Q606";"B";"cost plus percentage fee contracts.";"N"
"Q606";"C";"fixed price plus incentive fee contracts";"N"
"Q607";"A";"benchmark";"N"
"Q607";"B";"control test";"Y"
"Q607";"C";"assurance test";"N"
"Q608";"A";"customer satisfaction";"Y"
"Q608";"B";"product delivery.";"N"
"Q608";"C";"cost control";"N"
"Q609";"A";"paracmetric modeling";"N"
"Q609";"B";"top down estimationg rechniques";"Y"
"Q609";"C";"bottom up estimationg techniques";"N"
"Q609";"D";"function point estimating.";"N"
"QOS1";"A";"Directory Option System";"N"
"QOS1";"B";"Disk Option System";"Y"
"BA100";"A";"External entities, processes, data stores, data flow";"Y"
"BA100";"B";"Concept, attributes, relationships, metadata";"N"
"BA100";"C";"Entities, attributes, processes, data stores, data flow";"Y"
"BA101";"A";"Non-Functional Requirements";"N"
"BA101";"B";"Transition Requirements";"Y"
"BA101";"C";"Functional Requirements";"N"
"BA102";"A";"Survey/Questionnaire";"Y"
"BA102";"B";"Prototyping";"N"
"BA102";"C";"Interviews";"N"
"BA103";"A";"Focus Group";"N"
"BA103";"B";"Prototyping";"N"
"BA103";"C";"Risk Analysis";"Y"
"BA104";"A";"Time";"N"
"BA104";"B";"Threat";"Y"
"BA104";"C";"Tangible";"N"
"BA105";"A";"Organisational need";"N"
"BA105";"B";"Solution complexity";"N"
"BA105";"C";"Business analysis team skills";"N"
"BA105";"D";"All of the above";"Y"
"BA106";"A";"Conflict and Issue Management";"N"
"BA106";"B";"Approval";"N"
"BA106";"C";"Requirements Management & Communication";"Y"
"BA106";"D";"Presenting Requirements for Review";"N"
"BA107";"A";"Solution Uptake Assessment";"N"
"BA107";"B";"Organisation Readiness Assessment";"N"
"BA107";"C";"Solution Performance Assessment";"Y"
"BA107";"D";"Solution Validation Assessment";"N"
"BA108";"A";"Domain SME";"N"
"BA108";"B";"Implementation SME";"N"
"BA108";"C";"Sponser";"Y"
"BA109";"A";"Assumptions and Constraints";"Y"
"BA109";"B";"Solution Scope";"N"
"BA109";"C";"Required Capabilities";"N"
"BA109";"D";"Business Need";"N"
"UML101";"A";"Only the subset of elements that define the subsystems API should have public visibility";"N"
"UML101";"B";"Only the subsystem proxy class should have public visibility";"N"
"UML101";"C";"No elements inside the subsystem should have public visibility";"Y"
"UML101";"D";"Only the elements that reference external classes should have public visibility";"N"
"UML102";"A";"identify participating classes";"N"
"UML102";"B";"allocate responsibilities among classes";"N"
"UML102";"C";"model messages between classes";"N"
"UML102";"D";"model associated class relationships";"Y"
"UML103";"A";"They partially encapsulate behavior";"N"
"UML103";"B";"They represent an independent capability with clear interfaces.";"Y"
"UML103";"C";"They model a single implementation variant";"N"
"UML103";"D";"They can only contain design classes.";"N"
"UML104";"A";"active class";"N"
"UML104";"B";"interface";"N"
"UML104";"C";"design class";"Y"
"UML104";"D";"subsystem";"N"
"UML105";"A";"Identify Design Elements";"N"
"UML105";"B";"Identify Design Mechanisms";"Y"
"UML105";"C";"Class Design";"N"
"UML105";"D";"Architectural Analysis";"N"
"UML106";"A";"Sequence diagrams";"N"
"UML106";"B";"Use cases";"Y"
"UML106";"C";"Domain model";"N"
"UML106";"D";" Package diagrams";"N"
"UML107";"A";"V-method";"N"
"UML107";"B";"UML";"N"
"UML107";"C";"Component Based Development";"N"
"UML107";"D";"RUP";"Y"
"UML108";"A";"A stereotype is used for extending the UML language.";"Y"
"UML108";"B";"A stereotyped class must be abstract.";"N"
"UML108";"C";"The stereotype {frozen} indicates that the UML element cannot be changed.";"N"
"UML108";"D";"UML Profiles can be stereotyped for backward compatibility.";"N"
"UML109";"A";"component diagram";"N"
"UML109";"B";"deployment diagram";"Y"
"UML109";"C";"class diagram";"N"
"UML109";"D";"network diagram";"N"
"UML110";"A";"system sequence diagram";"N"
"UML110";"B";"activity diagram";"N"
"UML110";"C";"use case diagram";"N"
"UML110";"D";"collaboration diagram";"Y"
"AG101";"A";"Iterations (timeboxes) should always be 30 days";"N"
