"q_id";"q_title";"q_active"
"Q100";"By default, the first form you create is the startup object.";"Y"
"Q101";"The _______ method displays a modal form, which means that no other form in the
application can receive focus until the modal form is closed.";"Y"
"Q102";"The _______ method displays a modeless form, which means that other forms in the
application can receive focus even when the modeless form is open.";"Y"
"Q103";"The Hide method removes a form from the screen and also removes it from memory.";"Y"
"Q104";"Information can be shared between multiple forms within the same project.";"Y"
"Q200";"Which declaration of the main method below would allow a class to be started as a standalone program. Select the one correct answer.";"Y"
"Q201";" Is the following statement true or false. The constructor of a class must not have a return type";"Y"
"Q202";"Which keyword when applied on a method indicates that only one thread should execute the method at a time. Select the one correct answer.";"Y"
"Q203";"What is the name of the Collection interface used to represent elements in a sequence (in a particular order).";"Y"
"Q204";"Which of these classes implement the Collection interface SortedMap.";"Y"
"Q300";"A table that is in 2NF and contains no transitive dependencies is said to be in:";"Y"
"Q301";"In an ER diagram, primary keys are indicated by _________.";"Y"
"Q302";"Product/order relationship is an example of a:";"Y"
"Q303";"A relationship name should be a(n) _________.";"Y"
"Q304";"A primary key _________.";"Y"
"Q305";"How is an entity modeled in an ER diagram?";"Y"
"Q306";"In database terms, what is an entity?";"Y"
"Q307";"The main purpose of a view is to:";"Y"
"Q308";"The main purpose of a trigger is to:";"Y"
"Q309";"The main purpose of a stored procedure is to:";"Y"
"Q500";"How often should global be used in an OO System?";"Y"
"Q501";"On  a large project, where it is important to architect the system so that teams can work relatively independently, what should the primary focus be?";"Y"
"Q502";"In general, on an OO System, it is better to have a great number of smaller classes than fewer bigger classes";"Y"
"Q503";"A use case should focus on";"Y"
"Q504";"An Interaction Diagram should be associate with";"Y"
"Q505";"Classes should be grouped into packages by";"Y"
"Q506";"When writing the initial use cases for a project, what is the MOST important to define?";"Y"
"Q507";"Actors are defined in a Use Case diagram in order to identify their:";"Y"
"Q508";"Which one is the LEAST important document? Every class'";"Y"
"Q509";"What is the MOST significant source of input for Creating Interaction Diagrams?";"Y"
"Q600";"Which of the following terms is used to refer to the adjustment of task schedules to result in more
effective human resource deployment?";"Y"
"Q601";"Work packages are described in the:";"Y"
"Q602";"Team motivation, problem resolution, and space verification occurs during _____?";"Y"
"Q603";"Which of the following is neither a tool nor a technique for source selection?";"Y"
"Q604";"Which of the following items is required when developing a detailed project cost estimate?";"Y"
"Q605";"The ""Cost of quality"" project management concept includes ____?";"Y"
"Q606";"The project estimates are of greatest interest to a contactor when performing";"Y"
"Q607";"On a project you measure a completed result against design specifications this is an example of a
quality";"Y"
"Q608";"Project managers operating under TQM principal typically focus on:";"Y"
"Q609";"Analogous estimating is the same as:";"Y"
"QOS1";"DOS stands for ?";"Y"
"BA100";"  Identify which of the following list represent the components of a data flow diagram";"Y"
"BA101";"Carrie is documenting the way data will be transformed from an existing system in order to become more compatible with the new system. What type of requirement is she documenting?";"Y"
"BA102";"You are preparing for elicitation. You have just selected the individuals to participate in the elicitation events. While selecting the elecitation events, one of the consideration you need to make is";"Y"
"BA103";"Which of the following is not an elicitation technique:";"Y"
"BA104";"SWOT Analysis is a technique that may be used while assessing capability gaps. What the T in SWOT stand for?";"Y"
"BA105";"Selecting and defining project?s business analysis approach depend on:";"Y"
"BA106";"Which of the following is not an element of the Manage Solution Scope & Requirements task?";"Y"
"BA107";"Which Output of Solution Assessment & Validation describes how the solution is performing in relation to business goals and objectives?";"Y"
"BA108";"When defining the solutions scope, which of the following stakeholders will approve the solution scope?";"Y"
